,slug,date,season,opponent,goals_for,goals_against,goals,assists,minutes,yellow_cards,red_cards,position
0,seatle-reign-fc-vs-sky-blue-fc-2016-04-17,2016-04-17,2016,NJY,1,2,0,0,90,0,0,LB
1,boston-breakers-vs-seatle-reign-fc-2016-04-24,2016-04-24,2016,BOS,3,0,0,1,90,0,0,LCB
2,seatle-reign-fc-vs-fc-kansas-city-2016-05-01,2016-05-01,2016,KC,1,0,0,0,90,0,0,LCB
3,orlando-pride-vs-seatle-reign-fc-2016-05-08,2016-05-08,2016,ORL,0,2,0,1,90,0,0,LCB
4,seatle-reign-fc-vs-portland-thorns-fc-2016-05-14,2016-05-14,2016,POR,1,1,0,2,90,0,0,LB
5,seatle-reign-fc-vs-chicago-red-stars-2016-05-22,2016-05-22,2016,CHI,1,2,0,1,90,0,0,LB
6,portland-thorns-fc-vs-seatle-reign-fc-2016-05-29,2016-05-29,2016,POR,0,0,0,0,90,0,0,LB
7,seatle-reign-fc-vs-houston-dash-2016-06-12,2016-06-12,2016,HOU,1,0,0,2,90,0,0,LB
8,sky-blue-fc-vs-seatle-reign-fc-2016-06-19,2016-06-19,2016,NJY,0,0,0,1,90,0,0,LB
9,fc-kansas-city-vs-seatle-reign-fc-2016-06-25,2016-06-25,2016,KC,0,0,0,2,66,0,0,RB
10,seatle-reign-fc-vs-boston-breakers-2016-07-02,2016-07-02,2016,BOS,2,0,0,0,90,0,0,LB
11,western-new-york-flash-vs-seatle-reign-fc-2016-07-09,2016-07-09,2016,WNY,2,3,0,0,90,0,0,LB
12,seatle-reign-fc-vs-western-new-york-flash-2016-07-16,2016-07-16,2016,WNY,1,1,0,0,90,0,0,LCB
13,seatle-reign-fc-vs-orlando-pride-2016-07-23,2016-07-23,2016,ORL,5,2,0,1,90,0,0,LCB
14,portland-thorns-fc-vs-seatle-reign-fc-2016-07-30,2016-07-30,2016,POR,0,1,0,3,90,0,0,LCB
15,seatle-reign-fc-vs-portland-thorns-fc-2016-08-27,2016-08-27,2016,POR,3,1,0,0,90,1,0,LCB
16,chicago-red-stars-vs-seatle-reign-fc-2016-09-04,2016-09-04,2016,CHI,2,2,1,0,90,0,0,CB
17,washington-spirit-vs-seatle-reign-fc-2016-09-07,2016-09-07,2016,WAS,1,2,0,0,90,0,0,LCB
18,seatle-reign-fc-vs-washington-spirit-2016-09-11,2016-09-11,2016,WAS,2,0,0,0,90,0,0,LCB
19,houston-dash-vs-seatle-reign-fc-2016-09-25,2016-09-25,2016,HOU,3,2,0,0,90,0,0,LCB
